pathway	description	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	16188.4002	16979.2476	20041.9809	18994.5536	19846.5091	19084.6139	12686.8073	16039.2644	17887.3686	14341.542	15198.3029	15903.5444	18630.0702	20526.3214	18323.752	19013.5881	19420.1006	18291.0149
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	2258.3419	2163.2737	2458.8243	2540.3882	1982.5057	2112.5989	1712.4752	2031.5408	1996.4747	1846.0936	2097.7167	2238.5351	2390.0388	2214.2895	2228.0326	2406.6174	3171.3544	2550.1951
AEROBACTINSYN-PWY	aerobactin biosynthesis	15.9707	0.0	0.0	216.1951	15.9588	6.6614	0.0	0.0	18.6471	14.6465	9.3229	7.9927	14.6484	17.3077	23.9483	0.0	11.9889	19.9615
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	3575.8084	3980.9452	3133.1325	3561.7014	3178.9646	3396.8076	4868.5039	4924.9036	5183.8827	4216.5783	4602.3	5696.345	4391.8812	4115.1161	4701.0923	4347.7848	4483.8302	4108.7147
ANAEROFRUCAT-PWY	homolactic fermentation	16830.6346	18730.5412	20698.0839	20387.4387	19453.6994	19568.97	14251.5388	17199.4968	19426.2488	14960.6512	16599.9394	17291.1914	21380.4355	22480.3291	20297.8125	21042.577	21568.3549	19907.8725
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	17099.0498	18804.8407	20891.3106	20538.2448	19893.0442	19886.1798	14462.4409	18020.6419	20738.6258	15620.7266	16751.7797	17861.73	21572.8077	22908.4088	20644.8701	21483.16	21650.3673	20124.7138
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	10219.6664	10305.8987	11833.2283	12252.5702	11821.9031	11969.511	7911.7851	9319.9307	11233.0773	8942.4426	9454.8149	10251.1948	11477.4861	12436.7314	10871.3223	12112.063	12384.4738	10657.0153
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.0	0.0	2.7686	0.0	2.3231	1.3942	116.5554	3.7231	0.0	8.4968	5.5539	86.4898	0.0	5.3927	0.0	1.8512	0.0	0.0
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	3033.0727	4490.781	4964.8048	4248.5706	2710.9299	3323.7756	2994.4867	4227.3014	5417.460999999999	3578.0379	3811.8229	3704.0284	4685.0952	4805.0819	4652.6359999999995	5544.9859	4507.1562	4599.001
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	13064.4369	15692.4376	16330.7805	15943.1177	14328.4302	15348.0785	12042.5126	14698.612	15222.221000000001	11946.7289	13585.5529	14791.5682	16704.3481	17180.4402	16367.2143	16895.8071	17158.1014	15658.0062
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	17248.5443	18819.1461	20614.2403	20725.7311	20546.4733	20055.8825	14070.7465	17220.4365	18755.2844	14650.4988	16531.745	17511.0962	21098.8526	22222.9434	20050.1785	20652.7819	21334.0344	19589.3892
ARO-PWY	chorismate biosynthesis I	17102.5342	18338.8353	20739.2445	20151.9015	20374.4696	19712.5654	14177.1394	17636.9556	19249.5632	15120.9344	16665.0171	17629.9772	20735.9623	22264.351000000002	20150.0447	20672.8679	21286.7389	19736.7676
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	3959.3593	3693.3068	4588.2068	3989.4608	3610.7352	3282.1506	4214.3812	4523.7541	5811.5154	4496.2652	3997.6765	5469.5662	5182.0376	5659.4718	4231.8699	5092.7002	6328.6816	3801.9498
AST-PWY	L-arginine degradation II (AST pathway)	1333.7379	835.3293	1111.0357	1884.9219	1699.3239999999998	2249.7428	523.5411	691.5994	1166.1883	1049.5377	751.6422	1409.1759	1228.3943	1723.1955	794.127	926.0864	1347.3038	890.8979
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	14963.0588	13020.315	17522.6429	17006.7542	19110.0627	17363.8644	10525.9951	12059.3226	15145.4435	12465.9783	12945.222	13088.4847	16064.9184	18733.5333	15666.8128	15688.6097	16799.7324	15917.7969
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	24481.456000000002	26229.0237	29443.2947	28792.5636	28711.8137	28216.1383	19881.6553	24091.2266	26909.0052	20993.5142	23508.4659	24498.0543	29212.2355	31696.4778	28298.3853	29421.0096	30044.5901	27557.4783
CALVIN-PWY	Calvin-Benson-Bassham cycle	18171.7935	19770.3632	22593.7846	21619.5225	21917.2938	21406.7537	15094.2997	18447.701	20480.7425	15921.6971	17686.3055	18622.1823	22091.0442	23814.1157	21420.6761	21889.422000000002	22729.5072	20930.8815
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	2265.6578	2701.5123	3673.1016	3014.1504	2637.1901	2753.8034	1738.1758	2626.1274	4104.7698	2667.5958	2522.8927	2537.4208	3282.337	3505.6536	2613.2574	3907.8777	3159.5495	3005.5736
CENTFERM-PWY	pyruvate fermentation to butanoate	469.5498	642.2704	280.9963	367.3594	205.9285	358.0176	1100.5148	498.5163	731.5464	589.3348	373.033	1507.9922	207.2801	98.7138	277.286	159.6996	212.2121	378.23900000000003
CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I (aerobic, light-dependent)	1183.0918	1193.9273	1606.2838	1171.5302	1466.7007	1364.5138	2535.7954	2157.8401	2048.7615	1360.5587	2584.0905	2672.9861	3406.4557	3191.8278	2562.4164	2223.4907	3349.1659	1828.8175
COA-PWY	coenzyme A biosynthesis I	15771.6072	16853.3365	19095.8648	18652.2156	18782.256999999998	18536.7699	13049.0694	16134.6382	17792.6168	13726.8887	15290.9831	16271.9704	19106.1679	20692.5929	18530.3021	18878.1239	19464.0634	18251.7413
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	11126.6388	12743.5642	14895.9745	14362.8418	13868.9235	13737.4634	8870.8866	11003.635	13050.7831	9735.4547	10899.955	11132.1046	13823.9274	14892.9765	12805.4764	13975.1992	14485.5818	12502.583999999999
CODH-PWY	reductive acetyl coenzyme A pathway	117.8187	187.699	108.2104	185.6746	233.7405	145.6651	237.8454	106.5916	178.58599999999998	107.0249	199.1025	237.9241	224.3424	260.3	269.0137	174.5481	222.9019	111.6631
COLANSYN-PWY	colanic acid building blocks biosynthesis	11324.4849	10789.8319	12536.4	12170.6872	13187.6302	13061.8057	9713.587	10832.1535	11971.7584	9464.3967	11024.0979	11864.8764	12942.6561	14464.591999999999	13327.9088	13176.0626	13402.9547	12344.5047
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	17903.635	19062.9766	21699.4841	21063.6439	21384.4667	20673.0304	14862.7963	18416.3681	20122.1248	15807.2703	17423.4537	18462.1204	21648.838	23263.1929	21065.1573	21550.3803	22202.4256	20658.9079
CRNFORCAT-PWY	creatinine degradation I	29.1936	56.0852	8.9962	31.7504	7.497000000000001	9.7452	0.0	156.1887	64.9981	90.16799999999999	77.5157	115.4667	42.6547	0.0	16.4858	74.8901	50.1461	17.9826
DAPLYSINESYN-PWY	L-lysine biosynthesis I	17949.0596	19150.0522	21878.4406	21030.4161	21350.0797	21012.5657	13928.2649	17420.9318	19654.3091	15504.7382	16700.7093	17528.5734	21011.5508	22946.9955	20314.5779	21141.8634	21633.9479	20326.5809
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	612.8601	477.0843	822.9203	808.9742	960.3325	819.3743	654.5168	962.4724	1206.5641	1029.3349	1031.5085	736.2848	886.6201	940.9336	1109.7774	977.3919	1140.3993	1041.2526
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	5342.7854	6877.3736	6437.3492	10301.4588	7483.3869	9661.9713	4019.3506	6270.4654	8000.9028	5721.7455	5775.5222	5772.6387	8450.818000000001	9564.523000000001	6368.1815	5960.82	8053.3735	7012.8147
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.7198	9.218	39.5791	0.0	75.6925	0.0	27.3276	0.0	0.0	19.8912	9.4037
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	18175.4027	19539.7131	22504.1172	21850.1819	22435.2594	20740.2925	14300.3561	18271.0811	20652.7527	15823.7603	17236.7188	17434.8578	22487.5436	24097.9808	20763.8329	21592.1728	23008.6789	20669.8976
ECASYN-PWY	enterobacterial common antigen biosynthesis	0.0	0.0	1.2853	0.0	1.0711	0.6427	64.6416	1.7136	0.0	3.9175	2.5701	13.8974	0.0	2.5703	0.0	0.857	0.0	0.0
ENTBACSYN-PWY	enterobactin biosynthesis	3296.4606	5375.3722	4023.6604	4478.4399	3327.3889	3613.2936	2864.9281	3114.1882	4644.4389	3229.3481	3531.9724	3505.5172	4658.4902	4166.2337	4053.2563	5039.8356	5742.2127	3538.5702
FAO-PWY	fatty acid &beta;-oxidation I	27809.1482	28971.8348	32492.9195	31851.278	32458.2366	33124.5907	19136.5216	25342.1382	30593.2864	23529.938	24587.1931	24584.8028	32085.7207	34863.4156	30377.07	33060.2303	32577.5365	30200.1033
FASYN-ELONG-PWY	fatty acid elongation -- saturated	23311.161	22996.3136	29264.1564	28013.8289	29024.41	27674.3065	19601.5112	23570.9113	25367.8681	20313.1143	22780.7425	24275.6775	26187.7926	29227.4124	26840.6753	26436.0185	27877.3924	26404.1538
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	19126.6548	16166.7889	22282.2115	21051.556	23745.6343	20987.8838	13596.2001	16183.5295	20434.2384	17264.5526	16808.8076	16507.1093	20867.2108	24477.3203	20181.7429	20309.1467	21762.5056	20564.8377
FERMENTATION-PWY	mixed acid fermentation	8136.2269	8142.7423	9842.6372	9448.9618	8982.2342	9876.3687	7979.4476	7931.0468	10395.5548	7563.5499	8635.4969	10065.2027	10538.2232	11118.3304	10193.7985	9809.424	10879.8134	9174.202
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	15674.0084	16427.2188	19272.6023	18647.418	19112.555	18527.9081	12581.9045	15630.812	17151.9448	13791.7051	14905.4831	15822.4464	18355.7284	20120.5797	18025.1413	18286.3583	19048.9082	17906.1029
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	0.0	122.2494	67.3703	0.0	4.4483	2.6656	223.4348	6.9532	60.6639	0.0	10.131	0.0	0.0	10.0273	0.0	3.5288	0.0	123.0878
FUCCAT-PWY	fucose degradation	36.7762	103.1235	185.4461	583.1023	314.7794	129.6591	172.0318	196.1244	41.7336	79.1974	82.4067	69.1796	166.5267	44.1791	110.0692	72.1208	90.0931	83.9901
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	2764.1725	2589.6571	3707.8768	3887.8902	3469.5954	3289.1077	1792.5048	2089.7085	2871.3372	2483.5338	2180.1896	2225.1875	2413.365	2826.9578	2408.3787	2688.5653	2734.2863	2363.8049
GALACTARDEG-PWY	D-galactarate degradation I	3069.3871	2414.4320000000002	2804.8535	3020.3921	4047.6861	2861.3673	1744.8929999999998	1966.8039999999999	2343.7536	2281.509	2437.5457	2203.9035	3405.1908	4198.9307	3069.2926	2631.8767	3393.1633	2899.0392
GALACTUROCAT-PWY	D-galacturonate degradation I	3815.4372	4247.3614	4985.9597	5272.0648	4542.6868	4436.3218	3168.4127	3898.9131	4629.0606	3726.4952	3630.5681	4203.9659	3655.8859	4013.6113	3882.04	4299.444	4087.9764	3826.7894
GALLATE-DEGRADATION-I-PWY	gallate degradation II	3945.1114	2860.0536	4397.4846	4096.8519	5060.7326	3891.6884	1854.1335	2521.5241	4007.4734	2871.7238	3066.4522	2539.7848	3695.4294	4482.7006	3241.0513	3948.2591	4040.9535	3698.1393
GALLATE-DEGRADATION-II-PWY	gallate degradation I	1578.8732	860.9512	1258.3027	939.5609	1482.6841	719.5501	586.0896	1087.4025	2260.5460000000003	1195.9856	967.0295	954.125	1326.4533	1716.0677	1060.8458	1937.7601	1331.8033	1176.0755
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	398.2594	559.346	517.1676	452.974	547.9929	508.1504	350.2399	618.7654	322.046	225.9238	364.8188	533.0377	349.663	350.5435	524.9355	402.2516	403.53	280.6926
GLUCARDEG-PWY	D-glucarate degradation I	3160.3249	2572.0155	2914.4262	3106.8473	4123.1533	2915.4395	1806.6593	2082.0365	2463.0667	2389.9717	2562.1471	2326.9873	3568.8711	4327.5315	3240.0224	2778.6384	3603.0616	3014.5815
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	3069.3871	2414.4320000000002	2804.8535	3020.3921	4047.6861	2861.3673	1744.8929999999998	1966.8039999999999	2343.7536	2281.509	2437.5457	2203.9035	3405.1908	4198.9307	3069.2926	2631.8767	3393.1633	2899.0392
GLUCONEO-PWY	gluconeogenesis I	17733.1448	18693.3627	22008.9742	21288.0981	21200.3577	20763.0632	14494.7486	17724.9751	19808.8725	15522.4838	17235.4259	17791.7162	21661.1416	23429.0281	20855.3823	21311.1776	22196.2503	20779.5362
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	6440.0102	5132.3111	7162.5386	7643.3162	8613.2869	8587.4302	4742.9958	4508.208	6331.0494	5353.6443	5934.2554	6466.1344	7007.9898	8345.4559	6383.2438	6193.8972	7449.6303	6434.8955
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronide and D-glucuronate degradation	3090.9897	3704.0799	4272.9165	4458.4577	4081.0576	3954.4175	2150.5606	3373.2036	3497.5519	2824.1418	3170.4691	3158.1704	2944.4944	3220.8488	3120.3653	3438.1358	3622.5406	3353.5657
GLUTORN-PWY	L-ornithine biosynthesis	17550.661	18533.7788	20742.2618	20495.8562	20571.1907	20532.1754	14203.4787	17417.7204	19201.0083	15274.6774	16613.9066	17557.8092	20977.912999999997	22481.4618	20250.2592	20655.929	21397.9323	19957.7617
GLYCOCAT-PWY	glycogen degradation I (bacterial)	11815.3073	13061.7853	12909.169	13261.3541	12689.5198	13002.5581	10537.0157	11674.1291	13020.658000000001	10458.6719	11691.2355	12365.9203	15097.6059	16016.2552	14273.1908	14732.5567	14885.6843	13589.4617
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	12529.7587	13791.377	14428.7016	14526.6482	13047.0399	13251.8622	10902.9472	12582.4624	13932.3062	11015.5418	11999.1354	13158.9041	15517.0775	16100.5544	14386.2434	14876.5638	15395.0219	13981.0873
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	0.0	48.9004	20.348	0.0	0.9984	0.599	107.5413	1.5812	23.6902	0.0	2.375	0.0	0.0	2.386	0.0	0.7977	0.0	55.7768
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	17116.4319	18879.3587	20939.2155	20333.1596	19470.6497	19632.5961	14517.1832	17841.0002	20158.8518	15325.9098	16837.338	17700.8692	21579.7652	22824.7267	20621.8283	21245.7675	21691.8145	20208.0029
GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff	15829.6649	17705.7829	19326.4809	18923.3077	17815.6562	18005.2409	13607.5764	16521.998	18678.8334	14451.3784	15890.425	16639.058	20005.9	21079.7717	19317.4281	19973.0541	20303.4997	18596.4327
GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	17253.1765	18035.4133	20627.738	20318.715	20313.7577	20265.7967	13471.3057	16279.8062	18889.8922	14887.0395	16090.9863	16882.5235	20431.2516	22194.6614	19484.1766	20189.7571	21041.1583	19371.5383
GLYOXYLATE-BYPASS	glyoxylate cycle	15912.926000000001	17336.2016	19013.9701	18563.4216	18607.3286	18591.4927	11798.8021	14554.4958	16682.3413	13222.378999999999	14427.9999	14754.0186	18382.6097	19776.712	17377.9249	18573.8339	19243.6791	17374.0805
GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol	47.8006	5.9732	56.7236	0.0	3.5819	42.476000000000006	20.9935	7.5748	8.7542	39.0726	35.4106	27.3033	0.0	0.0	48.6965	42.1475	45.3098	0.0
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	183.6844	229.2243	286.486	115.3713	53.2929	193.9552	104.3475	251.3046	135.8961	107.9472	117.304	201.9172	266.1427	6.3777	283.1289	285.9273	232.5654	259.3579
HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)	12709.9953	11420.4436	15482.9695	14507.8172	16336.9732	15190.896	9901.5916	11692.6738	13210.5629	10751.9777	11813.563	12129.0127	13975.0278	16264.798999999999	13945.5952	13850.2725	14926.851999999999	14012.8649
HEMESYN2-PWY	heme biosynthesis II (anaerobic)	16834.4853	17618.8741	20741.8212	20015.4094	20291.476000000002	19754.3229	13954.2068	17006.7362	18989.1264	14869.5373	16354.0999	17131.8509	20170.4294	22069.3441	19788.1188	20181.629	20731.6135	19461.4687
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	1330.4426	1891.5964	1300.5376	1366.6173	1002.9423	1468.0224	1668.2081	1617.9715	1356.9302	1017.4383	1160.5555	1444.6406	1367.0771	777.3742	1312.7445	1413.2044	1223.2939999999999	1192.77
HISDEG-PWY	L-histidine degradation I	13470.3579	14540.5	16379.3929	16137.2028	16512.7253	16419.895	8958.4638	12586.2868	15080.9811	11777.9621	12081.5341	12241.6935	15663.528999999999	17675.2176	14172.4175	15833.7607	16559.7976	14522.0864
HISTSYN-PWY	L-histidine biosynthesis	15638.7717	15387.6807	18596.1091	18013.3163	19027.7714	18126.4541	12753.4006	15537.7726	17003.7798	13683.5343	14789.2499	15843.8574	18224.7113	20112.321	17923.3393	17896.4769	18763.4266	17607.4819
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	8322.4263	12190.8424	10128.1321	10708.1842	6930.1012	9824.7521	7529.4062	10291.2872	10478.4112	7917.8152	8950.2275	9429.6833	11968.8767	10600.1569	11074.3451	11927.4199	12019.2792	10421.2237
HSERMETANA-PWY	L-methionine biosynthesis III	18584.3119	18576.5324	22501.6463	22018.8906	23072.4495	21514.3487	13917.4239	16667.5671	19343.3939	15194.0004	16969.326	17183.5379	21278.1132	23627.6262	20313.1448	21405.3865	22364.7757	20773.1997
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	28737.6379	30912.1391	35848.0072	33806.0067	34073.1822	33297.7704	23259.4609	29455.014	32678.2191	25319.2543	27808.5472	28556.3698	34562.6963	37765.6282	33510.2097	34929.1418	35334.0871	33091.4176
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	0.0	0.0	44.6678	0.0	3.9991	2.3996	266.7754	30.3144	0.0	14.6194	73.1087	51.7602	0.0	9.5943	0.0	176.7622	0.0	0.0
KETOGLUCONMET-PWY	ketogluconate metabolism	3664.8731	3206.9342	3927.1174	4142.0637	4358.43	3620.0057	2053.8711	3335.6065	4143.3248	2883.7147	3258.7119	2914.9192	3855.2307	4626.1199	3407.1177	4291.0052	4458.0647	3708.5693
LACTOSECAT-PWY	lactose and galactose degradation I	0.0	0.0	0.0	0.0	0.0	0.0	56.4325	0.0	25.175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.7362
LEU-DEG2-PWY	L-leucine degradation I	15714.2943	15920.437	19376.9036	18995.4537	20840.846	18778.6934	10417.8322	14090.0326	16257.553	12870.892	14029.4944	13295.2662	18389.3432	20487.4001	16832.8046	17606.4704	18785.4591	17433.6569
LIPASYN-PWY	phospholipases	193.4366	37.3188	138.1476	135.7707	59.6726	225.6916	56.7665	56.8755	9.2407	37.2904	57.0232	168.2554	0.0	0.0	14.9722	103.8114	69.5347	36.763000000000005
LPSSYN-PWY	superpathway of lipopolysaccharide biosynthesis	0.0	0.0	5.9712	0.0	2.6663	1.5998	6.2146	7.4784	0.0	0.0	11.7646	0.0	0.0	6.3977	0.0	4.2152	0.0	0.0
MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	11511.7944	14727.5479	14144.4904	14278.8412	10757.0373	13459.4623	10146.072	13171.395	14154.2701	10744.8584	11863.1742	12603.993	15409.4511	14768.0257	14606.3221	15405.3876	15516.1729	14045.2419
METH-ACETATE-PWY	methanogenesis from acetate	6.3971	0.0	31.6113	0.0	13.3219	0.0	47.8266	0.0	0.0	0.0	0.0	42.5632	0.0	6.9306	0.0	0.0	0.0	0.0
METHANOGENESIS-PWY	methanogenesis from H2 and CO2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.8413	0.0	0.0	0.0	8.8643	0.0	0.0
METHGLYUT-PWY	superpathway of methylglyoxal degradation	0.0	0.0	1.4964	89.5177	7.0102	0.7488	57.613	35.1782	0.0	33.1481	41.047	65.8001	0.0	2.9824	0.0	28.4678	38.5134	0.0
METHYLGALLATE-DEGRADATION-PWY	methylgallate degradation	4382.9057	3397.7016	4967.4299	4677.9494	5283.3384	4383.8119	2201.3337	2988.1817	4624.9772	3316.6806	3547.8158	2996.3037	4327.9131	5138.8723	3798.8465	4593.7018	4691.952	4270.5419
NAD-BIOSYNTHESIS-II	NAD salvage pathway II	5278.3206	3700.2049	5491.7976	5964.988	6847.939	5586.7163	2746.8117	3101.6257	4733.0811	3895.2848	4079.3395	3606.1997	5156.7401	6208.1157	4535.6747	4766.3908	5748.1987	4942.6526
NADSYN-PWY	NAD biosynthesis II (from tryptophan)	3668.2894	3799.7005	6706.6669999999995	4498.8052	5353.8163	4613.5262	2654.962	5302.9933	6150.2903	4338.8137	4044.5409999999997	3652.865	5151.3934	5487.1990000000005	4639.6943	4515.2492	4945.8077	5653.2751
NAGLIPASYN-PWY	lipid IVA biosynthesis	10571.5968	8676.392	12942.6822	11836.6259	14561.9259	12272.4149	7839.526	9508.9525	11063.1364	8788.7696	9579.7169	9960.9449	11303.8196	13755.067	11460.9525	11049.0503	12077.9927	11513.9468
NONMEVIPP-PWY	methylerythritol phosphate pathway I	14728.0411	16072.0334	17370.9015	17893.7677	17503.8838	16885.5965	11938.618	14247.6141	16292.8803	12438.2721	14186.5214	14951.7826	17719.2603	19192.1257	16973.4208	18259.1919	18315.0279	16406.0029
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	21236.7057	23924.442000000003	26585.5212	25018.0367	25055.1237	24900.4411	17817.7927	21740.7523	24978.002999999997	19085.3526	20667.0137	22129.6861	26114.8443	27747.1107	24871.6615	26209.8735	27230.3282	24410.0183
OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	16466.4924	17891.0756	19818.2109	19729.4287	19674.4403	19209.1096	13372.3939	16420.8155	18200.3577	14153.5201	15862.9954	16512.3728	19987.4273	21509.0607	19140.5033	19760.4057	20579.4236	18779.881
ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	0.0	0.0	2.7686	0.0	2.3231	1.3942	116.5554	3.7231	0.0	8.4968	5.5539	86.4898	0.0	5.3927	0.0	1.8512	0.0	0.0
ORNDEG-PWY	superpathway of ornithine degradation	0.0	0.0	1775.7214	0.0	2330.4719	1860.2741	885.1317	1411.1221	0.0	1080.7828	1489.4764	1296.0056	0.0	1518.0369	0.0	1133.9705	0.0	0.0
P101-PWY	ectoine biosynthesis	3044.7825	3906.4207	4241.7573	4190.366	2977.4252	3310.5435	2155.2656	3354.6559	4443.1377	3490.6381	3067.3248	3084.4635	3922.6477	3621.7315	3586.5843	4670.0817	4603.5271	3689.0131
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	22133.8869	23418.9235	26637.2499	26034.3046	26082.8239	26029.687	17147.9593	20981.7035	24187.1698	18889.5065	20506.976000000002	21493.3692	26023.0803	28226.59	24944.9081	25961.9473	26795.477000000003	24767.4922
P108-PWY	pyruvate fermentation to propanoate I	15006.8815	18291.2288	19630.0968	17596.0598	15872.9733	17217.453999999998	13081.6393	17128.73	18428.8887	13862.5419	14876.1277	15758.7346	19042.572	19428.0477	18533.9672	19349.2604	19000.5039	18498.5657
P122-PWY	heterolactic fermentation	5121.5537	6313.1842	5796.5677	7510.3835	5877.1127	5923.4355	5991.1388	6588.5141	5834.9175	5378.6294	5327.7462	6952.8185	6133.3831	6254.6905	6460.0936	6824.5372	6219.8011	6176.0867
P124-PWY	Bifidobacterium shunt	9734.1882	13311.2272	12649.2858	12246.0721	9735.759	10928.1438	9369.9282	11792.1768	14042.5499	9723.4192	11076.3258	11380.3185	14930.6461	15361.8203	13296.075	15017.202	15278.8692	12475.878
P125-PWY	superpathway of (R,R)-butanediol biosynthesis	895.7551	793.8397	680.5097	1098.1401	348.1478	645.019	885.2145	1200.7001	1792.9385	1121.5582	818.9377	1048.1637	856.9564	861.0169	888.5397	1456.8666	1017.7641	708.0771
P161-PWY	acetylene degradation	5183.5685	8452.4481	7935.4263	6927.0748	4301.6532	5690.4439	6444.5483	7589.2762	8505.5492	5759.7668	6583.1268	8040.7354	8778.1222	6723.2006	8043.8241	8504.4063	9163.2948	7381.5153
P162-PWY	L-glutamate degradation V (via hydroxyglutarate)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.8837	0.0	0.0	0.0
P163-PWY	L-lysine fermentation to acetate and butanoate	1789.1454	3346.8307	2651.4840000000004	2624.1497	2093.0922	2229.1653	1583.5238	2237.5526	2339.156	1467.2808	2058.2727	2034.0631	2683.5506	2085.2245	2523.4743	2649.8109	2253.1234	2614.4682
P164-PWY	purine nucleobases degradation I (anaerobic)	744.6727	876.0651	574.4231	465.7851	536.1501	465.7845	1351.4742	1297.3628	997.6389	630.8912	1134.7521	1227.7692	1066.8324	1247.9237	1474.261	1437.745	827.7253	1120.165
P184-PWY	protocatechuate degradation I (meta-cleavage pathway)	3518.1865	2735.6525	4314.3614	4053.4770000000003	4852.8141	3940.5351	1710.7747	2205.2206	3481.9781	2612.3206	2844.24	2321.8372	3342.6102	3920.4649	3111.2283	3455.3791	3810.3849	3511.9034
P221-PWY	octane oxidation	5262.8243	6448.5731	7070.3207	5973.3523	7150.3503	5955.5547	3161.9396	3784.4228	3955.9663	3858.7191	4294.5249	3289.3865	5904.181	5826.5646	5660.9177	5716.2969	6307.2576	4903.4477
P23-PWY	reductive TCA cycle I	5476.1976	7586.0123	4142.6965	7996.3873	4136.1367	6047.2198	6555.7815	7595.57	6187.3736	4932.3342	5775.0628	8099.2689	6137.2779	4929.3023	7541.9373	7152.7301	6385.7567	6959.599
P241-PWY	coenzyme B biosynthesis	181.1631	250.6226	93.0667	255.4138	237.0956	132.8941	163.2679	310.1605	148.7897	185.2856	227.0228	207.9051	601.0758	149.7734	274.4352	192.7448	312.3038	269.5091
P261-PWY	coenzyme M biosynthesis I	120.9683	122.8861	87.59299999999999	0.0	34.2373	149.4063	162.8714	199.938	167.6107	149.3674	135.2577	281.0008	97.6097	84.6042	145.8896	100.4254	182.7463	45.2539
P281-PWY	3-phenylpropanoate degradation	3615.1888	2957.4944	4910.0753	4320.3589	5886.2458	4161.1862	2072.9166	4266.0362	3885.8828	3050.5046	3514.3736	2978.853	4214.3528	5261.8927	3688.4337	3661.4088	4802.9718	4603.7169
P381-PWY	adenosylcobalamin biosynthesis II (late cobalt incorporation)	1622.5867	738.3554	1167.1329	624.253	211.2353	1906.6862	1544.2875	1939.6093	2217.9124	1742.6355	1215.2609	2117.5802	2142.1609	1002.0051	1739.5156	2472.7552	2506.0682	2510.4962
