pathway	description	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	1362.6391	1344.5806	1702.2108	1511.5999	682.4897	995.1897	801.3477	1679.1002	3373.237	1879.3238	1313.636	1397.5536	1860.0028	2092.7827	1666.2017	2737.3568	1449.7423	1445.0635
PWY-5913	TCA cycle VI (obligate autotrophs)	17046.961	17813.037	18801.9346	19506.0236	18879.381999999998	19511.3034	13501.0883	16016.1293	18857.5552	14599.4679	15929.6802	16695.0909	20691.8515	21809.8361	19438.0983	20380.121	20203.305	18812.6667
PWY-5918	superpathay of heme biosynthesis from glutamate	14827.868	14644.9998	17944.9415	17199.7808	18039.8744	17433.172	11895.2439	14489.7634	16246.9216	12874.3442	14028.1235	14665.5981	17325.731	19283.7217	16912.551	17061.3036	18013.4703	16811.1507
PWY-5920	superpathway of heme biosynthesis from glycine	9089.3536	11873.3539	11519.7287	12049.4373	10205.4274	10120.8675	8190.6723	10634.3175	11486.5627	8600.0317	9470.8939	10133.3144	12896.9912	12519.5283	11816.9833	12643.2905	12370.0063	11463.1855
PWY-5941	glycogen degradation II (eukaryotic)	2915.8188	5240.9220000000005	3635.1512	3297.3245	2412.2373	3362.6609	2237.8453	2675.9544	2533.8502	2878.1675	2972.0539	2683.3476	3652.9975	3870.0526	3873.4236	3726.705	6521.8977	2568.6204
PWY-5971	palmitate biosynthesis II (bacteria and plants)	15734.0252	16568.1291	21372.1459	18193.4188	20568.8788	18496.5079	13080.2511	15919.4161	17058.5265	13437.6791	16537.2486	16178.9289	19551.4268	20331.2296	18384.6268	19679.0648	19316.4438	18968.0555
PWY-5973	cis-vaccenate biosynthesis	24129.47	24025.6548	31000.6165	29232.6099	30814.6713	28686.7893	20155.2447	25141.0724	26943.9922	21607.5095	23792.5089	25305.1528	27292.3772	30332.7482	27966.0532	27507.8993	29034.9796	27531.5184
PWY-5989	stearate biosynthesis II (bacteria and plants)	20971.0758	17504.2801	24907.8729	23208.8415	26631.8252	23228.0601	15248.2518	18104.3922	22091.5525	18667.5209	18809.2626	18475.0946	22279.203999999998	26349.3262	22296.9499	21978.4888	23562.165	22645.3904
PWY-6071	superpathway of phenylethylamine degradation	1511.3496	1830.5488	1730.751	1859.0803	1747.9149	1875.4755	1516.93	2240.8542	1870.3566	1829.7963	1859.8213	2106.9793	1670.3589	1683.6998	1854.6354	1860.7177	2183.9822	1992.8188
PWY-6107	chlorosalicylate degradation	1351.4035	1405.3228	1688.8852	1550.3522	1466.5845	1507.2602	870.2066	1302.2661	2083.6205	1361.1327	1388.9707	1314.43	1398.3386	1701.3048	1350.2774	2142.8975	1518.8527	1367.6078
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	18198.0493	19520.9643	22153.0728	21842.5554	21714.8698	21336.1933	15062.8473	18821.7356	20435.385	16068.8657	17642.8917	18753.2046	22116.6417	23751.3933	21376.535	21808.2237	22504.2717	21111.8841
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	17703.8624	19357.5928	21565.3431	21283.2857	20826.5182	20696.0175	14876.4327	18414.931	19968.4561	15681.0991	17304.8873	18468.3825	21625.5373	23053.057	20975.0675	21474.7064	22000.4644	20624.1358
PWY-6123	inosine-5'-phosphate biosynthesis I	15547.9087	16669.0547	18974.7199	18382.3971	18557.7193	18185.8541	12943.1926	15920.508999999998	17455.5167	13618.6033	15051.6987	15954.788	18802.3381	20344.6597	18330.9696	18586.7024	19224.1969	17993.1676
PWY-6125	superpathway of guanosine nucleotides de novo biosynthesis II	18346.0369	19972.9267	22509.6924	21838.82	21651.6599	21513.2339	15173.5578	18830.0868	20732.3489	16106.1676	17807.0969	18691.5339	22417.6812	24095.9271	21727.735	22263.185	22858.1569	21338.1304
PWY-6126	superpathway of adenosine nucleotides de novo biosynthesis II	18904.8019	20337.5943	22983.8365	22334.0232	22606.278	22159.5589	15655.1602	19327.3816	21218.0237	16553.5058	18271.3316	19353.9119	23047.4178	24814.1461	22305.2998	22645.8677	23428.4428	21823.9382
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	15463.8275	16718.511000000002	18678.4213	18218.1244	18149.8111	18161.0273	13178.8621	16100.5578	17324.4977	13747.2197	15231.413	16293.8079	18827.7858	20505.3789	18446.811	18971.6384	19568.226000000002	18077.093999999997
PWY-6151	S-adenosyl-L-methionine cycle I	9623.3433	8617.3906	10551.5786	11237.6439	12084.9059	11190.3455	7110.3133	8200.8694	9673.8122	7928.7196	8331.1917	9310.4627	9893.9726	11765.4007	9622.6285	10142.38	10743.2069	9720.4097
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	16247.0868	17350.4928	19897.3287	19177.8671	19333.5577	18660.3915	13449.901000000002	16883.0421	18515.1471	14481.7851	15852.2191	16784.2018	19594.7769	21134.1752	19161.8113	19668.8339	20250.7551	18827.7987
PWY-6165	chorismate biosynthesis II (archaea)	0.0	0.0	4.5876	0.0	3.8988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5261	0.0	0.0
PWY-6167	flavin biosynthesis II (archaea)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.5073	0.0	0.0	0.0	10.9713	0.0	0.0
PWY-6174	mevalonate pathway II (archaea)	310.36	418.3572	170.1149	428.1778	291.1828	221.5296	270.7907	472.7195	288.1204	432.1003	353.2393	367.9884	877.5456	276.5939	471.3205	372.6826	509.9995	423.7547
PWY-6182	superpathway of salicylate degradation	1551.1568	1643.0592	1887.0142	2689.31	2243.2039	2529.6572	1327.7953	1783.3832	2036.2333	1719.0369	1742.6244	1932.8229	1942.7956	2561.3715	1722.4116	1644.9677	2134.3488	1751.6597
