PathwayL2	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Excretory system	23789.25	24962.9	27542.3	27758.980000000003	28954.67	27650.65	17397.85	20405.239999999998	25766.969999999998	19760.92	21825.86	22325.16	29051.219999999998	30868.670000000002	25996.739999999998	28168.93	29894.23	24388.370000000003
Folding	684438.2	745359.2399999999	829351.2000000003	807165.0900000002	799009.9400000005	799691.6200000001	571962.6600000003	694167.33	775296.78	602466.8699999999	663426.8500000003	705522.5	831089.5099999999	888941.57	805222.0700000001	827123.16	845418.7300000001	785949.8799999999
Glycan biosynthesis and metabolism	931428.8399999994	1019155.41	1148501.209999999	1110507.5000000005	1119705.250000001	1078478.5600000003	732482.1500000003	916601.4799999994	1066403.26	826842.1200000006	881307.9399999997	913124.2999999997	1130376.8899999992	1214318.2500000007	1071811.2299999997	1124835.16	1163000.6300000006	1052571.9
Immune disease	31454.020000000004	34208.9	36019.64	37393.17	35424.16	37452.560000000005	22713.67	29713.359999999993	37824.63	27668.67	28821.47	29252.550000000003	40515.32	43791.41	34875.67	39463.49	40312.08	34389.37
Immune system	106468.41999999998	113209.28000000001	126627.76999999999	128984.53	131430.8	127019.89000000001	82265.85	103876.42000000001	122817.41	93937.03000000003	100362.23000000001	103501.27	131862.33999999997	143183.86000000002	121241.5	126423.98000000001	134298.76	119441.84000000004
Infectious disease: bacterial	437212.87000000005	423019.73	530196.8899999999	513271.47	556652.9700000001	520699.64999999997	322071.2899999999	397311.78999999986	453046.7500000002	361204.7799999999	397932.23	408030.00999999995	482834.94999999995	546560.52	464679.36999999994	482994.31999999983	511097.11999999994	466814.99
Infectious disease: parasitic	51104.74	47535.310000000005	63834.119999999995	60562.60999999999	66727.61	62529.67	33923.06	43368.73	48892.83	39904.020000000004	44282.72	43758.75	50218.810000000005	58061.619999999995	49867.42	52481.409999999996	55529.259999999995	51492.83
Infectious disease: viral	238742.53	194339.32	275808.33999999997	269235.73	320512.71	287039.24000000005	148586.32	179263.41	199842.51000000004	168041.41	194500.29000000004	189964.94999999995	221626.49999999997	270734.58	221594.99999999997	231160.36	241898.03000000003	225723.64
Lipid metabolism	1531870.9400000006	1674761.8200000003	1848366.5000000019	1819115.1499999997	1801157.5700000005	1784736.77	1149441.7200000007	1456358.7400000016	1687481.5400000005	1320220.98	1423772.5299999982	1439014.8399999996	1812026.3700000015	1947221.4399999997	1717727.7300000007	1844921.1199999999	1886512.7900000005	1698513.6600000004
Membrane transport	2260373.990000003	2260186.2700000014	2661473.000000006	2779438.3299999996	2896251.849999995	2705321.579999996	1616440.0799999991	1990490.220000005	2300235.920000001	1887354.4199999995	2058914.759999993	2125921.2299999995	2475650.2400000044	2806264.9600000097	2354762.8600000013	2530159.7599999965	2716321.9500000007	2341747.629999995
Metabolism of cofactors and vitamins	2421088.600000003	2600039.290000004	2959827.0100000007	2899968.8200000045	2909674.6499999976	2850581.8600000027	1946799.5900000012	2384905.089999999	2685000.4499999974	2102653.6600000006	2324478.600000002	2424776.3000000007	2895543.180000006	3135264.500000003	2769111.7000000025	2890154.5499999993	3016625.1499999985	2725337.66
