Pathway	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Propanoate metabolism [PATH:ko00640]	458849.15000000014	501436.11000000016	558979.4	547771.7099999998	544709.1199999999	536416.1699999999	354976.6700000001	447875.2599999998	498937.63000000006	393459.43000000005	431052.6600000002	441446.7400000001	540389.7399999999	583205.2099999996	519303.06000000006	550874.8400000002	568047.4000000001	515733.3299999999
Prostate cancer [PATH:ko05215]	13790.95	15257.41	15886.4	16599.85	16229.98	16099.02	11158.19	13980.38	16661.14	12740.54	13239.07	13997.41	18010.739999999998	18813.79	16507.25	16995.469999999998	17562.85	15851.320000000005
Proteasome [BR:ko03051]	38708.78	59731.66	48969.259999999995	48981.85	34775.45	42592.020000000004	33496.270000000004	47570.13	54055.97	37231.04	41911.32	41062.990000000005	61426.149999999994	57786.21	54358.08	60408.81	57497.06	51773.98000000001
Proteasome [PATH:ko03050]	10687.75	18913.0	14207.01	13778.5	7826.82	11294.75	9571.75	14396.25	16448.25	10589.75	12263.5	11507.5	18552.5	16793.25	16240.0	18955.25	17110.940000000002	15321.5
Protein digestion and absorption [PATH:ko04974]	6257.25	6948.5	10035.5	8089.92	8137.49	8080.92	4032.5	6985.0	9407.92	6416.58	5573.25	5386.0	8313.5	8878.5	7271.67	7794.5	8120.51	8227.42
Protein export [PATH:ko03060]	254430.86000000007	275823.97000000003	309084.24000000005	301129.58999999997	300685.62000000005	296838.02	209682.99	256665.52999999997	286075.62000000005	222009.69000000003	244987.18000000005	259113.47	307971.68999999994	330861.12000000005	297966.83999999997	305249.54999999993	313726.62	292013.1600000001
Protein kinases [BR:ko01001]	362730.68	360105.79000000004	417631.3599999998	434627.96999999974	453534.50999999983	432970.71000000014	259914.41999999995	311895.3199999998	384528.17000000016	306196.0200000001	324638.3000000001	332510.8299999999	417115.33999999997	460519.02000000014	384435.44999999995	409433.64999999985	437593.18000000005	376967.05999999994
Protein phosphatases and associated proteins [BR:ko01009]	55724.85	60626.23	65712.58000000002	65766.85	64074.9	63865.8	43736.630000000005	54868.73999999999	65611.99	49332.95	52136.21	54393.03	69782.45999999999	75099.21	64917.08	69191.07999999999	69511.89	63221.46000000001
Protein processing	186832.96000000002	184388.99	224028.16999999998	217606.47000000003	233690.46000000002	219654.42999999996	141647.3	170030.44999999998	199525.48999999993	157730.93000000005	171043.50000000006	178302.27000000002	212740.78000000003	234840.22000000006	203383.97999999995	213059.07999999993	223675.54	201044.26
Protein processing in endoplasmic reticulum [PATH:ko04141]	36493.65	39891.48	43168.84	43329.96	42839.17	42096.8	28728.620000000003	34534.840000000004	39895.05	31140.420000000002	33894.009999999995	34817.78	44654.48	47190.630000000005	42309.42	43288.99	44099.37	41471.080000000016
Proteoglycans [BR:ko00535]	202.0	240.0	751.0	359.0	57.66	129.0	279.0	323.0	270.0	152.0	239.0	189.0	317.0	155.0	293.0	357.0	222.0	597.0
Proteoglycans in cancer [PATH:ko05205]	15602.45	16815.49	19692.7	18586.9	18538.94	18223.75	14123.85	16703.809999999998	18271.04	13909.04	15886.740000000002	16988.95	19872.32	21242.79	19184.75	19305.9	20306.6	18740.570000000003
Proximal tubule bicarbonate reclamation [PATH:ko04964]	23759.25	24932.9	27542.3	27758.980000000003	28940.67	27628.65	17357.85	20405.239999999998	25726.969999999998	19760.92	21793.86	22291.16	29019.219999999998	30868.670000000002	25960.739999999998	28134.93	29894.23	24388.370000000003
Purine metabolism [PATH:ko00230]	799839.54	858123.9099999996	958752.9500000002	957488.1700000003	960450.6899999998	944656.45	628827.7399999999	783065.6000000001	888098.9500000001	694568.2399999998	756133.82	790733.1100000001	954044.4699999997	1035937.5499999999	905920.38	957369.8499999996	987011.1999999998	890102.8600000001
Pyrimidine metabolism [PATH:ko00240]	474999.4	503634.7400000001	575359.2299999997	571000.11	576623.6400000001	561698.3399999997	374977.8600000001	469162.8699999999	529233.6200000002	412864.64999999997	446783.8200000004	473786.02999999997	568297.76	618603.5100000001	537297.71	559558.3400000001	587200.4000000003	532460.2700000001
Pyruvate metabolism [PATH:ko00620]	624599.0300000001	676192.5999999997	753999.0499999999	742181.2399999999	735104.6900000003	725767.1500000001	491976.42000000016	609196.5999999999	680661.7899999999	533251.0200000001	591421.9100000003	609350.8899999999	742661.4900000001	797417.3599999998	708876.47	749148.6000000003	768760.65	702902.3
Quorum sensing [PATH:ko02024]	1169225.1099999999	1211094.6899999995	1383394.4100000006	1412805.2599999995	1468586.7300000007	1364087.17	841415.5999999996	1049175.3800000006	1165709.0899999996	952400.2400000006	1068464.6199999994	1074436.5400000007	1297457.1600000001	1438046.3800000001	1240118.2299999995	1321553.6700000006	1403868.4199999995	1243923.62
RIG-I-like receptor signaling pathway [PATH:ko04622]	1362.75	1743.75	2180.6	2446.0	2383.59	1924.05	918.53	1314.1	1057.55	1156.7199999999998	1490.75	1253.85	1188.25	1714.0	1150.5	1519.45	2339.75	1191.0
RNA degradation [PATH:ko03018]	235265.41999999998	250422.96000000002	286406.43000000005	274866.12999999995	277804.02999999997	275335.45999999996	195376.87	238228.99000000002	265978.47	207256.47	226540.80000000002	241003.78999999998	281684.77	304336.87999999995	274671.12	281874.98	287323.41000000003	270130.75000000006
RNA polymerase [PATH:ko03020]	61041.47000000001	65729.47000000002	73746.93000000001	72704.90000000001	72303.59	71652.13	52378.950000000004	62627.84999999999	68417.56	53288.3	59719.45000000001	64505.799999999996	74291.13	80184.49	72551.84	73420.7	76137.73	70220.62000000001
RNA transport [PATH:ko03013]	19455.48	18036.4	23636.25	22303.550000000003	25467.73	23430.22	16888.01	20433.670000000002	24717.990000000005	18214.489999999998	19128.68	21847.31	25760.13	28206.199999999997	22768.66	21810.12	26121.52	21869.38
Rap1 signaling pathway [PATH:ko04015]	0.0	16.0	0.0	24.0	10.0	24.0	32.0	45.0	37.0	0.0	0.0	5.0	20.0	0.0	8.0	9.0	26.0	10.0
Ras signaling pathway [PATH:ko04014]	79.0	21.0	56.0	69.0	24.0	116.0	30.0	23.0	3.7	15.0	23.0	74.0	20.0	0.0	8.0	42.0	58.0	14.77
Regulation of actin cytoskeleton [PATH:ko04810]	0.0	10.0	0.0	10.0	10.0	0.0	22.0	45.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	4.0	10.0
Regulation of lipolysis in adipocytes [PATH:ko04923]	50.0	43.0	14.0	0.0	11.0	84.0	68.0	80.0	55.0	46.0	56.0	95.0	19.0	44.0	22.0	14.0	83.0	19.0
Relaxin signaling pathway [PATH:ko04926]	0.0	10.0	0.0	0.0	4.66	0.0	22.0	45.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	4.0	10.0
Renal cell carcinoma [PATH:ko05211]	15163.95	16172.16	18557.95	17914.4	18003.28	17700.42	12603.02	15592.98	17111.54	13534.4	14693.270000000002	15688.96	18412.24	19760.79	17672.25	18088.37	18888.43	17469.74
Renin secretion [PATH:ko04924]	1736.25	1451.83	1805.83	1785.42	1736.0	2362.25	1169.17	1143.5	1370.42	1282.75	1364.25	1378.17	1299.0	1352.5	1458.84	1659.0	1468.67	1534.4199999999994
Renin-angiotensin system [PATH:ko04614]	16809.71	15883.4	20635.95	20293.260000000002	21032.739999999998	21281.92	10938.02	12955.33	16780.72	13374.33	13848.92	13470.43	18906.75	21710.010000000002	16940.510000000002	17453.57	19319.5	17297.82
Replication and repair	147966.72999999998	145896.88999999998	184849.30000000008	179727.03999999995	190977.71	180195.38999999993	117810.80000000002	145053.05000000002	159623.70999999996	129455.93	143846.80999999997	151518.37000000002	168830.08	188501.73	165029.88000000006	170403.40999999997	181838.2500000001	167459.82
