FeatureID	FullPath	CompactPath	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
19ff95999ef093c79fdadc5374aa2c65	Bacteria;Actinomycetota;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinocorallia;Unassigned	Bacteria;Actinomycetota;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinocorallia	23	22	0	33	0	0	17	25	14	30	21	39	39	125	30	67	230	38
1a121b6aafe49bf54f263f6a26e049cd	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiales_Incertae_Sedis;Incertae_Sedis;Unassigned	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiales_Incertae_Sedis;Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43
1a2d512def5b90feb982293313ec1bdf	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Shinella;Unassigned	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Shinella	0	0	0	0	0	0	0	48	0	0	16	9	0	0	0	9	0	8
1a3a6c052808bcc5db1132e2cc83bd2a	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Unassigned;Unassigned	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
1a469e934a39858127b8beb44e107acf	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Unassigned	Bacteria;Bacillota;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
1a9c33688d65ce9814ca09cf6f36c121	Bacteria;Cyanobacteriota;Cyanobacteriia;Chloroplast;Incertae_Sedis;Incertae_Sedis;Unassigned	Bacteria;Cyanobacteriota;Cyanobacteriia;Chloroplast;Incertae_Sedis;Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	683	0	0	0
1ad9124dec15f08740c9d57c820b810a	Bacteria;Actinomycetota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;Unassigned	Bacteria;Actinomycetota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus	0	0	0	0	0	0	0	29	14	0	0	51	16	0	0	0	0	0
1b0f3f9d9c1ca05ee10736b7c3de1e86	Bacteria;Fibrobacterota;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;possible_genus_04;Unassigned	Bacteria;Fibrobacterota;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;possible_genus_04	0	0	0	0	3	0	0	0	0	4	0	5	0	0	0	0	0	0
1b171406ebd3a07711a6c3c20dd72d20	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;MND1;Unassigned	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;MND1	0	0	0	0	0	0	0	12	0	0	0	25	21	0	0	0	0	26
1b4042a116559e1c0e81112b9c77c002	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Unassigned;Unassigned	Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1b944216220b63d842998beed7ee2162	Bacteria;Actinomycetota;Actinobacteria;Unassigned;Unassigned;Unassigned;Unassigned	Bacteria;Actinomycetota;Actinobacteria	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
1bab0ce79bf38daf8fb6765b5b3b573c	Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Pseudobdellovibrionaceae;OM27_clade;Unassigned	Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Pseudobdellovibrionaceae;OM27_clade	0	0	0	0	13	0	0	0	0	0	12	0	0	0	0	0	0	0
1bda32f127aab0ab297dc8c345305b7e	Bacteria;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae;Unassigned;Unassigned	Bacteria;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
1be6d78aa52edcd7fdaff0c463771620	Bacteria;Patescibacteria;Parcubacteria;Candidatus_Kaiserbacteria;Incertae_Sedis;Incertae_Sedis;Unassigned	Bacteria;Patescibacteria;Parcubacteria;Candidatus_Kaiserbacteria;Incertae_Sedis;Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
1c471cab48e0ab7c312fe2efb503e598	Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Pseudobdellovibrionaceae;Bdellovibrio;Unassigned	Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Pseudobdellovibrionaceae;Bdellovibrio	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
1cac8c0464d572f19bcb754747b2b84e	Bacteria;Myxococcota;Polyangiia;Haliangiales;Haliangiaceae;Incertae_Sedis;Unassigned	Bacteria;Myxococcota;Polyangiia;Haliangiales;Haliangiaceae;Incertae_Sedis	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
1ce32d699bceda347a07ce71c3df8887	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Incertae_Sedis;Unassigned	Bacteria;Chloroflexota;Chloroflexia;Chloroflexales;Roseiflexaceae;Incertae_Sedis	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
