#OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
7b399d4c063974cc7a4f91500b11b208	43.0	48.0	31.0	42.0	112.0	41.0	68.0	51.0	39.0	59.0	37.0	31.0	66.0	93.0	72.0	63.0	45.0	87.0
9ffef14315b7912bf5687de0c337a625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1021.0	0.0
8c248646d40e2f853144caa7c86e1713	28.0	78.0	39.0	23.0	0.0	203.0	82.0	36.0	53.0	102.0	33.0	19.0	151.0	0.0	0.0	70.0	15.0	71.0
5abe14ade32025395b31889022b440cc	40.0	0.0	0.0	0.0	0.0	0.0	955.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b15d30bbd2edce64fec9cc4ce6fc5307	51.0	20.0	0.0	38.0	221.0	33.0	64.0	89.0	31.0	36.0	38.0	31.0	57.0	35.0	89.0	50.0	44.0	61.0
b46f62815f5bc0f8c18c3c374acabe23	70.0	61.0	74.0	78.0	123.0	77.0	35.0	0.0	49.0	0.0	38.0	35.0	55.0	52.0	55.0	53.0	60.0	67.0
6a5fd8229128131d8c382e0cf49f2bcb	44.0	104.0	38.0	72.0	45.0	155.0	0.0	39.0	88.0	32.0	75.0	69.0	0.0	0.0	59.0	0.0	97.0	51.0
e3711a08054e8c5216fdc92bc870b843	42.0	49.0	61.0	67.0	38.0	58.0	43.0	41.0	42.0	44.0	122.0	41.0	42.0	68.0	44.0	37.0	40.0	69.0
2b92834ada16216a0cfcd0f048730c21	70.0	50.0	47.0	60.0	33.0	54.0	27.0	51.0	16.0	20.0	83.0	54.0	0.0	0.0	78.0	68.0	120.0	116.0
b8bed788868c0c71e958794e0ff6f18f	33.0	52.0	76.0	96.0	78.0	82.0	24.0	15.0	36.0	36.0	50.0	35.0	38.0	71.0	43.0	64.0	78.0	32.0
6e915ebb669b342778e2ee4b599db225	44.0	32.0	79.0	41.0	159.0	39.0	31.0	32.0	18.0	46.0	60.0	34.0	35.0	40.0	37.0	72.0	93.0	44.0
ea77f0ef6e6140ba12c5f74391f5d81c	58.0	28.0	28.0	35.0	93.0	33.0	29.0	75.0	29.0	67.0	136.0	42.0	39.0	0.0	76.0	47.0	59.0	54.0
c61b398f1ad500b1d674412196ecd354	81.0	47.0	69.0	150.0	72.0	130.0	0.0	0.0	35.0	0.0	24.0	34.0	35.0	55.0	38.0	36.0	54.0	46.0
d709d446e841852fd25d6a7100a18ead	22.0	34.0	40.0	71.0	90.0	27.0	61.0	42.0	32.0	49.0	38.0	37.0	53.0	100.0	62.0	52.0	46.0	34.0
9304494ad5b82f0ad6c585d39f883f82	74.0	37.0	31.0	46.0	0.0	63.0	0.0	0.0	39.0	0.0	67.0	53.0	0.0	40.0	90.0	224.0	64.0	55.0
bbe4add0aa4e584a243534f43a837a07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	862.0	0.0	0.0	0.0	0.0	0.0
667ed6276486d67319bbf49f33edef7a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	861.0	0.0	0.0	0.0	0.0
4ed47d60c842f6ed191fcf3b1f5ca9b9	47.0	70.0	54.0	43.0	0.0	50.0	0.0	41.0	69.0	42.0	30.0	32.0	51.0	60.0	54.0	51.0	80.0	68.0
4416db1869c89234859b4a5170a7241e	0.0	0.0	19.0	26.0	121.0	20.0	26.0	202.0	10.0	34.0	69.0	34.0	7.0	16.0	77.0	0.0	111.0	61.0
f9fcf885afb77ed7c15f45317bfa7768	48.0	49.0	60.0	62.0	50.0	57.0	37.0	34.0	48.0	39.0	40.0	49.0	30.0	32.0	41.0	53.0	38.0	62.0
1e1f218c2cb4d24032a30bfc3157ed92	51.0	47.0	0.0	35.0	17.0	0.0	54.0	78.0	45.0	0.0	29.0	53.0	51.0	84.0	72.0	52.0	108.0	46.0
039f2f450cd67cab485bf121801bb8a9	49.0	30.0	29.0	56.0	45.0	235.0	0.0	0.0	45.0	35.0	0.0	61.0	29.0	31.0	53.0	41.0	38.0	29.0
4407bfef18c0c9317d51ba68a3be1c35	0.0	0.0	173.0	0.0	0.0	0.0	0.0	0.0	619.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a97229235933ab8cf6435a2c4d6f8530	40.0	24.0	16.0	26.0	0.0	12.0	15.0	29.0	199.0	100.0	28.0	37.0	65.0	19.0	42.0	68.0	20.0	32.0
cf773d9c9606ffb55f04f0c48a0c6ccb	27.0	59.0	35.0	54.0	87.0	31.0	35.0	30.0	23.0	23.0	46.0	35.0	41.0	39.0	51.0	67.0	42.0	44.0
72b00e2185d7a042732bee2afdf64364	31.0	27.0	62.0	32.0	39.0	35.0	18.0	30.0	40.0	22.0	34.0	48.0	22.0	106.0	19.0	157.0	18.0	28.0
8806bd440600876a3e50541e0c18f10f	52.0	64.0	56.0	41.0	66.0	96.0	18.0	17.0	26.0	39.0	27.0	37.0	27.0	36.0	34.0	51.0	37.0	41.0
3507b98b39966f6a173f5dca9542e109	44.0	43.0	0.0	0.0	64.0	46.0	36.0	43.0	35.0	0.0	52.0	55.0	44.0	0.0	57.0	117.0	77.0	50.0
19ff95999ef093c79fdadc5374aa2c65	23.0	22.0	0.0	33.0	0.0	0.0	17.0	25.0	14.0	30.0	21.0	39.0	39.0	125.0	30.0	67.0	230.0	38.0
e464ec6cfdd1c61b7fc9d19cdbc29ce6	32.0	66.0	46.0	40.0	36.0	34.0	41.0	40.0	39.0	40.0	34.0	44.0	45.0	37.0	55.0	36.0	35.0	44.0
f72f112fde0f777adbbce832a8062618	0.0	0.0	0.0	0.0	114.0	0.0	0.0	0.0	0.0	0.0	629.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2fda8e525fbd16d27fe02183ee306d3d	0.0	0.0	0.0	619.0	0.0	22.0	0.0	0.0	0.0	0.0	22.0	0.0	38.0	0.0	0.0	0.0	0.0	31.0
347016993f7528ea0beb87f0aca7a356	21.0	61.0	54.0	21.0	30.0	44.0	59.0	34.0	30.0	46.0	64.0	47.0	55.0	42.0	35.0	40.0	20.0	25.0
c085910e5fc5b31868fb24e0f462ea20	38.0	35.0	42.0	52.0	34.0	62.0	48.0	42.0	35.0	45.0	50.0	55.0	24.0	0.0	42.0	45.0	31.0	44.0
84fe6278acb5e2be325922be6ef7481e	39.0	14.0	37.0	32.0	61.0	35.0	29.0	21.0	43.0	44.0	32.0	33.0	72.0	56.0	35.0	42.0	50.0	45.0
9325f55da04db8ef994aebadb84656d2	0.0	46.0	79.0	59.0	75.0	52.0	0.0	0.0	50.0	0.0	89.0	0.0	47.0	0.0	59.0	46.0	54.0	47.0
05422c955c8bb773240803aaeb4567f7	117.0	42.0	40.0	68.0	0.0	27.0	52.0	64.0	103.0	72.0	51.0	0.0	0.0	0.0	0.0	45.0	14.0	0.0
f97837d28e3442fbe919890466b06b2c	0.0	0.0	0.0	0.0	0.0	67.0	33.0	84.0	48.0	28.0	53.0	65.0	64.0	0.0	66.0	93.0	0.0	86.0
1a9c33688d65ce9814ca09cf6f36c121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	683.0	0.0	0.0	0.0
e5d7bdc95bf1cb0c59e956e0e61f2546	40.0	29.0	53.0	58.0	56.0	29.0	14.0	30.0	33.0	27.0	27.0	23.0	44.0	38.0	35.0	46.0	42.0	46.0
2bff56450da4890d6c10e23851d585b2	44.0	55.0	12.0	20.0	20.0	29.0	54.0	37.0	41.0	25.0	36.0	71.0	37.0	28.0	45.0	29.0	40.0	43.0
b746e7884e92caff08ed3745f74f8df9	69.0	0.0	27.0	61.0	66.0	99.0	0.0	0.0	54.0	0.0	0.0	44.0	50.0	100.0	0.0	36.0	51.0	0.0
dd7c96058b42caf8e3bdae6891c3b91f	35.0	51.0	54.0	44.0	32.0	45.0	0.0	0.0	42.0	33.0	41.0	52.0	47.0	39.0	19.0	40.0	54.0	28.0
142d35f0c0b4d7343ac919e43fd9de00	34.0	32.0	69.0	65.0	76.0	47.0	17.0	23.0	30.0	25.0	34.0	27.0	19.0	37.0	21.0	37.0	30.0	32.0
5d0539d2f262d5b86607087376aafffd	38.0	44.0	55.0	43.0	75.0	43.0	0.0	16.0	27.0	26.0	34.0	55.0	33.0	45.0	32.0	37.0	51.0	0.0
9f0a63c24691886f5b135ba064ec40b2	0.0	0.0	41.0	41.0	31.0	19.0	17.0	51.0	20.0	11.0	44.0	36.0	36.0	20.0	18.0	25.0	124.0	117.0
0091167b8dc904da47b75f4475194893	44.0	11.0	22.0	36.0	175.0	0.0	13.0	36.0	0.0	64.0	46.0	29.0	23.0	0.0	32.0	39.0	22.0	43.0
e1f47ddc3d9a519f956a43018478892c	31.0	10.0	49.0	54.0	38.0	35.0	8.0	16.0	65.0	27.0	23.0	36.0	31.0	45.0	42.0	43.0	34.0	40.0
265692d5219ce01bc1bf4962145aeffb	23.0	34.0	14.0	20.0	18.0	33.0	44.0	35.0	32.0	40.0	36.0	41.0	20.0	45.0	40.0	49.0	37.0	46.0
cadaff0d6f54bedc130f946ee23c845e	0.0	0.0	0.0	60.0	0.0	83.0	0.0	17.0	82.0	58.0	30.0	24.0	98.0	74.0	0.0	47.0	0.0	31.0
044cd3b69284eb2d5225c69253b79bee	44.0	30.0	0.0	51.0	33.0	98.0	13.0	20.0	38.0	21.0	33.0	26.0	52.0	0.0	36.0	42.0	37.0	22.0
a35008ca28ce5db02ddf7a5ef8ee84dc	32.0	27.0	64.0	49.0	48.0	60.0	29.0	17.0	21.0	23.0	40.0	0.0	11.0	39.0	34.0	32.0	36.0	34.0
8b482e83820693e05d4cc3faf46aac99	19.0	14.0	30.0	37.0	190.0	36.0	0.0	84.0	0.0	20.0	21.0	17.0	0.0	0.0	12.0	18.0	30.0	63.0
98374b8502779e346e6c5225dbb4ebc5	32.0	41.0	29.0	18.0	0.0	35.0	37.0	49.0	41.0	32.0	32.0	39.0	28.0	21.0	34.0	36.0	25.0	39.0
36a678eb2627dc09d282432f2932e2a6	0.0	69.0	0.0	0.0	0.0	0.0	0.0	498.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18f8d16e5a6a08d983d4afb93a488ce0	0.0	78.0	38.0	62.0	0.0	18.0	25.0	51.0	23.0	35.0	42.0	12.0	16.0	59.0	45.0	19.0	0.0	41.0
226be8d6db86ab00ab3af494b53ca913	58.0	61.0	68.0	73.0	46.0	55.0	13.0	25.0	0.0	0.0	0.0	18.0	37.0	57.0	0.0	0.0	26.0	24.0
