Feature	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Description
EC:4.2.1.109	2487.97605200362	0.426241683543926	0.107951623582372	53.7439590637144	2.13622784426219e-12	1.81664815876057e-10	Methylthioribulose 1-phosphate dehydratase
EC:1.2.1.91	4828.84709965245	-0.230994812449463	0.0682493184680627	52.3955438743062	4.19229861415937e-12	3.3010469828529e-10	3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase
EC:3.3.2.12	4828.84709965245	-0.230994812449463	0.0682493184680627	52.3955438743062	4.19229861415937e-12	3.3010469828529e-10	Oxepin-CoA hydrolase
EC:2.4.2.4	10845.6851354039	-0.0803266111022439	0.0345624532956392	51.9807110201021	5.15860196556538e-12	3.91685277814e-10	Thymidine phosphorylase
EC:3.5.3.12	2534.55208509309	0.474639699747011	0.117674822283799	51.7096755469606	5.90726732215421e-12	4.33063804375857e-10	Agmatine deiminase
EC:1.10.3.12	904.420496509469	-1.08241685011103	0.34706299373752	51.2069831943342	7.5952991176008e-12	5.38253530800643e-10	Menaquinol oxidase (H(+)-transporting)
EC:3.1.31.1	981.788258375877	1.11516627688141	0.252633883139078	50.9470033923254	8.64965486169658e-12	5.93198910837643e-10	Micrococcal nuclease
EC:2.5.1.21	792.745672272226	1.55741083335921	0.255241220778048	48.1711707396196	3.4654782739781e-11	2.3023771282742e-09	Squalene synthase
EC:4.2.1.8	5514.47096220341	-0.45035563712837	0.0681134529648282	47.158358320897	5.75032780348474e-11	3.70460512430562e-09	Mannonate dehydratase
EC:1.3.8.8	1175.40817584165	-0.629842550857461	0.125137221963934	47.0638180285715	6.02867353331343e-11	3.7696940975954e-09	Long-chain-acyl-CoA dehydrogenase
EC:2.1.1.196	528.637317806996	2.53538785156329	0.40258328941298	46.7714237362052	6.97773352969364e-11	4.23847470975105e-09	Cobalt-precorrin-6B (C(15))-methyltransferase (decarboxylating)
EC:1.7.7.2	929.568609542415	1.37347828185664	0.262879665606107	46.4311801321717	8.27174885830354e-11	4.88492724243148e-09	Ferredoxin--nitrate reductase
EC:2.7.1.113	209.230926164356	-0.985568326802848	0.436898781946122	46.1179153916439	9.67435264996124e-11	5.55883073886962e-09	Deoxyguanosine kinase
EC:2.6.1.59	799.025330162092	1.30497285149053	0.225118675412251	45.8208064191596	1.12237583561055e-10	6.11838724745646e-09	dTDP-4-amino-4,6-dideoxygalactose transaminase
EC:2.8.3.8	403.686967312556	-1.20010201865086	0.406563912485037	45.8640472141349	1.09837006615358e-10	6.11838724745646e-09	Acetate CoA-transferase
EC:2.8.3.9	403.338406780138	-1.20019255313731	0.40797247669745	45.5676302598704	1.27383979547125e-10	6.7704585129297e-09	Butyrate--acetoacetate CoA-transferase
EC:4.4.1.2	213.677202222731	-0.981454575672146	0.394841532712326	45.2067108976198	1.52576432485807e-10	7.91164623084938e-09	Homocysteine desulfhydrase
EC:2.3.3.9	13861.7492285679	-0.0857860763736348	0.0240087331584147	44.5679186366822	2.09990396262298e-10	1.06295138679439e-08	Malate synthase
EC:5.1.99.6	3996.64266605927	0.444426409622223	0.10832763529587	44.4506883870765	2.22666897688296e-10	1.10090656857051e-08	NAD(P)H-hydrate epimerase
