function	description	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
K12136	hyfA; hydrogenase-4 component A [EC:1.-.-.-]	0.0	0.0	0.6	0.0	0.5	0.3	0.4	0.8	0.0	0.0	1.2	0.0	0.0	1.2	0.0	0.4	0.0	0.0
K12137	hyfB; hydrogenase-4 component B [EC:1.-.-.-]	0.0	0.0	0.6	0.0	0.5	0.3	4.4	0.8	0.0	0.0	1.2	0.0	0.0	2.2	0.0	0.4	0.0	0.0
K12138	hyfC; hydrogenase-4 component C [EC:1.-.-.-]	0.0	0.0	0.6	0.0	0.5	0.3	0.4	0.8	0.0	0.0	1.2	0.0	0.0	1.2	0.0	0.4	0.0	0.0
K12139	hyfD; hydrogenase-4 component D [EC:1.-.-.-]	0.0	0.0	0.6	0.0	0.5	0.3	0.4	0.8	0.0	0.0	1.2	0.0	0.0	1.2	0.0	0.4	0.0	0.0
K12140	hyfE; hydrogenase-4 component E [EC:1.-.-.-]	496.5	527.0	1170.6	1148.83	399.0	478.3	599.4	547.8	538.2	408.0	476.2	517.5	612.0	393.7	722.5	707.9	421.0	847.1
K12141	hyfF; hydrogenase-4 component F [EC:1.-.-.-]	546.5	570.0	1170.6	1148.83	399.0	536.3	667.4	611.8	580.2	442.0	532.2	582.5	631.0	406.7	744.5	721.9	498.0	866.1
K12142	hyfG; hydrogenase-4 component G [EC:1.-.-.-]	0.0	0.0	0.6	0.0	0.5	0.3	0.4	0.8	0.0	0.0	1.2	0.0	0.0	1.2	0.0	0.4	0.0	0.0
K12143	hyfH; hydrogenase-4 component H	0.0	0.0	0.6	0.0	0.5	0.3	0.4	0.8	0.0	0.0	1.2	0.0	0.0	1.2	0.0	0.4	0.0	0.0
K12144	hyfI; hydrogenase-4 component I [EC:1.-.-.-]	0.0	0.0	0.6	0.0	0.5	0.3	0.4	0.8	0.0	0.0	1.2	0.0	0.0	1.2	0.0	0.4	0.0	0.0
K12145	hyfJ; hydrogenase-4 component J [EC:1.-.-.-]	0.0	0.0	0.6	0.0	0.5	0.3	0.4	0.8	0.0	0.0	1.2	0.0	0.0	1.2	0.0	0.4	0.0	0.0
K12146	hyfR; hydrogenase-4 transcriptional activator	0.0	0.0	0.6	0.0	0.5	0.3	0.4	0.8	0.0	0.0	1.2	0.0	0.0	1.2	0.0	0.4	0.0	0.0
K12147	msyB; acidic protein MsyB	0.0	0.0	0.6	0.0	0.5	0.3	29.4	0.8	0.0	1.83	1.2	6.5	0.0	1.2	0.0	0.4	0.0	0.0
K12148	bssS; biofilm regulator BssS	0.0	0.0	0.6	0.0	0.5	0.3	58.4	0.8	0.0	1.83	1.2	6.5	0.0	1.2	0.0	0.4	0.0	0.0
K12149	dinI; DNA-damage-inducible protein I	0.0	0.0	1.2	0.0	1.0	0.6	29.8	1.6	0.0	1.83	2.4	6.5	0.0	2.4	0.0	0.8	0.0	0.0
K12151	bhsA; multiple stress resistance protein BhsA	0.0	0.0	0.6	0.0	0.5	0.3	58.4	0.8	0.0	1.83	1.2	6.5	0.0	1.2	0.0	0.4	0.0	0.0
K12152	nudJ; phosphatase NudJ [EC:3.6.1.-]	40.0	5.33	31.6	42.67	10.5	11.63	82.07	0.8	46.67	39.5	1.2	47.17	11.67	18.2	48.67	28.07	19.0	14.0
K12191	CHMP2A; charged multivesicular body protein 2A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	6.0	7.0	0.0	0.0	15.0	0.0
K12203	dotB, traJ; defect in organelle trafficking protein DotB	0.0	23.0	19.0	18.0	28.0	7.0	11.0	5.0	24.0	11.0	14.0	0.0	19.0	25.0	6.0	15.0	15.0	24.0
K12204	dotC, traI; defect in organelle trafficking protein DotC	0.0	23.0	19.0	18.0	28.0	7.0	11.0	5.0	24.0	11.0	14.0	0.0	19.0	25.0	6.0	15.0	15.0	24.0
K12205	dotD, traH; defect in organelle trafficking protein DotD	0.0	23.0	19.0	18.0	28.0	7.0	11.0	5.0	24.0	11.0	14.0	0.0	19.0	25.0	6.0	15.0	15.0	24.0
K12206	icmB, dotO; intracellular multiplication protein IcmB	0.0	23.0	19.0	18.0	28.0	7.0	11.0	5.0	24.0	11.0	14.0	0.0	19.0	25.0	6.0	15.0	15.0	24.0
K12207	icmC, dotE; intracellular multiplication protein IcmC	0.0	4.0	0.0	0.0	4.0	3.0	8.0	0.0	11.0	5.0	0.0	0.0	0.0	0.0	6.0	2.0	0.0	20.0
K12212	icmJ, dotN; intracellular multiplication protein IcmJ	0.0	8.0	13.0	9.0	13.0	7.0	8.0	5.0	18.0	11.0	6.0	0.0	6.0	9.0	6.0	4.0	15.0	20.0
K12213	icmK, traN, dotH; intracellular multiplication protein IcmK	0.0	23.0	19.0	18.0	28.0	7.0	11.0	5.0	24.0	11.0	14.0	0.0	19.0	25.0	6.0	15.0	15.0	24.0
K12214	icmL, traM, dotI; intracellular multiplication protein IcmL	27.0	60.0	50.0	48.0	77.0	7.0	108.0	90.0	89.0	266.0	96.0	233.0	37.0	41.0	6.0	45.0	98.0	69.0
K12217	icmO, trbC, dotL; intracellular multiplication protein IcmO	27.0	60.0	50.0	48.0	77.0	7.0	108.0	90.0	89.0	266.0	96.0	233.0	37.0	41.0	6.0	45.0	98.0	69.0
K12218	icmP, trbA; intracellular multiplication protein IcmP	27.0	60.0	50.0	48.0	77.0	7.0	108.0	90.0	89.0	266.0	96.0	233.0	37.0	41.0	6.0	45.0	98.0	69.0
K12221	icmS; intracellular multiplication protein IcmS	0.0	8.0	13.0	9.0	13.0	7.0	8.0	5.0	18.0	11.0	6.0	0.0	6.0	9.0	6.0	4.0	15.0	20.0
K12222	icmT, traK; intracellular multiplication protein IcmT	0.0	23.0	19.0	18.0	28.0	7.0	11.0	5.0	24.0	11.0	14.0	0.0	19.0	25.0	6.0	15.0	15.0	24.0
K12223	icmV; intracellular multiplication protein IcmV	0.0	4.0	13.0	9.0	9.0	4.0	0.0	5.0	7.0	6.0	6.0	0.0	6.0	9.0	0.0	2.0	15.0	0.0
K12224	icmW; intracellular multiplication protein IcmW	0.0	8.0	13.0	9.0	13.0	7.0	8.0	5.0	18.0	11.0	6.0	0.0	6.0	9.0	6.0	4.0	15.0	20.0
K12234	cofE, fbiB; coenzyme F420-0:L-glutamate ligase / coenzyme F420-1:gamma-L-glutamate ligase [EC:6.3.2.31 6.3.2.34]	4268.33	7161.25	5322.84	5367.0	3340.16	4632.0	4036.58	5667.75	5895.33	4159.5	4900.75	4881.58	7184.41	6436.42	6550.83	6940.34	6728.0	6351.66
K12235	SRR; serine racemase [EC:5.1.1.18]	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	37.0	21.0	12.0	0.0
K12239	pchE; dihydroaeruginoic acid synthetase	0.0	19.0	4.67	0.0	0.0	0.0	10.0	11.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0
K12240	pchF; pyochelin synthetase	197.0	203.0	175.67	160.0	56.0	37.0	189.0	158.0	132.0	51.0	79.0	193.0	177.0	35.0	144.0	116.0	77.0	158.0
K12242	pchC; pyochelin biosynthetic protein PchC	259.0	288.75	251.84	186.0	72.5	192.0	223.75	340.75	314.5	185.5	167.25	280.75	424.25	155.25	255.0	376.25	385.34	385.0
K12243	pchR; AraC family transcriptional regulator, transcriptional activator of the genes for pyochelin and ferripyochelin receptors	50.0	22.0	118.0	75.0	95.0	12.0	38.0	80.0	18.0	19.0	81.0	57.0	13.0	30.0	66.0	63.0	105.0	61.0
K12250	E4.2.3.7; pentalenene synthase [EC:4.2.3.7]	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	37.0	21.0	12.0	0.0
K12251	aguB; N-carbamoylputrescine amidase [EC:3.5.1.53]	5084.450000000002	6100.33	6216.05	5390.02	4307.65	5839.8	4279.940000000001	5248.0	7270.85	5696.46	5168.4	5587.67	6021.92	5796.0	6175.09	7431.8	6476.3600000000015	5689.299999999998
K12252	aruH; arginine:pyruvate transaminase [EC:2.6.1.84]	680.0	537.0	1111.75	1001.43	1260.25	939.0	379.5	626.5	496.5	532.5	750.6500000000002	639.5	462.75	827.0	492.25	716.6	947.75	646.25
K12253	aruI; 5-guanidino-2-oxopentanoate decarboxylase [EC:4.1.1.75]	5.0	0.0	4.75	8.1	30.25	5.0	6.5	73.5	2.5	24.5	23.450000000000006	39.5	1.75	4.0	19.25	2.8	27.75	15.25
K12254	kauB; 4-guanidinobutyraldehyde dehydrogenase / NAD-dependent aldehyde dehydrogenase [EC:1.2.1.54 1.2.1.-]	1094.0	626.0	778.83	1619.8	1456.5	1798.67	362.0	620.0	923.67	865.33	603.0999999999998	1178.0	1013.83	1354.0	627.5	722.4	1089.17	690.17
K12255	gbuA; guanidinobutyrase [EC:3.5.3.7]	144.67000000000004	115.0	229.08	236.43	385.92	262.67	158.17000000000004	194.5	265.84	273.17	225.45	223.67	274.75	479.67	316.58	338.45	344.7399999999999	226.92
K12256	spuC; putrescine---pyruvate transaminase [EC:2.6.1.113]	3591.92	2205.0	3010.41	3826.18	4632.92	4402.34	1382.17	1801.5	2333.51	2256.5	2183.45	2520.67	3185.08	4341.67	2493.58	2864.45	3438.41	2682.59
K12257	secDF; SecD/SecF fusion protein	3440.7	4289.5	5962.35	5560.3	5467.03	4314.34	3212.14	5059.1	4624.33	3861.18	3684.5	4237.3	4193.25	4657.5	4241.67	4187.38	4460.940000000001	4346.3
K12262	cybB; cytochrome b561	13143.02	9687.5	14578.99	14462.46	18138.37	14713.06	8742.57	9309.3	10272.13	8968.609999999999	10713.25	10420.17	12042.66	14487.87	11673.33	11844.35	13534.63	12041.7
K12263	cccB; cytochrome c551	233.0	198.0	357.8	158.0	101.8	295.4	504.6	330.8	407.4	282.0	191.0	714.8	77.0	53.0	179.0	149.6	112.0	142.0
K12264	norV; anaerobic nitric oxide reductase flavorubredoxin	0.0	0.0	0.6	0.0	0.5	0.3	0.4	0.8	0.0	1.83	1.2	0.0	0.0	1.2	0.0	0.4	0.0	0.0
K12265	norW; nitric oxide reductase FlRd-NAD(+) reductase [EC:1.18.1.-]	0.0	0.0	0.6	0.0	0.5	0.3	0.4	0.8	0.0	1.83	1.2	0.0	0.0	1.2	0.0	0.4	0.0	0.0
K12266	norR; anaerobic nitric oxide reductase transcription regulator	988.5	869.0	1288.35	1253.43	1790.75	1342.3	825.9	1227.3	1337.2	1519.33	1245.65	1518.0	1070.75	1257.2	1295.25	1221.2	1526.75	1338.02
K12267	msrAB; peptide methionine sulfoxide reductase msrA/msrB [EC:1.8.4.11 1.8.4.12]	351.0	405.0	432.05	978.8	448.8	400.34	809.7	566.1	605.4	559.78	322.5	960.8	314.75	417.5	390.5	428.6	280.5	290.0
K12276	mshE; MSHA biogenesis protein MshE	2548.87	1695.0	2602.96	3215.0	3729.07	3414.34	1203.17	1082.0	2136.61	1698.4	1498.5	1490.6699999999996	2519.33	3269.17	1851.33	2088.35	2411.76	2005.14
K12278	mshG; MSHA biogenesis protein MshG	2548.87	1695.0	2602.96	3217.0	3729.07	3416.84	1208.17	1091.5	2150.61	1702.9	1501.0	1490.6699999999996	2519.33	3274.67	1851.33	2088.35	2417.26	2008.14
K12279	mshI; MSHA biogenesis protein MshI	2548.87	1695.0	2602.96	3215.0	3729.07	3414.34	1203.17	1082.0	2136.61	1698.4	1498.5	1490.6699999999996	2519.33	3269.17	1851.33	2088.35	2411.76	2005.14
K12280	mshJ; MSHA biogenesis protein MshJ	1390.87	960.0	1169.96	1885.0	2085.07	2236.84	848.17	793.0	1368.61	1036.4	914.5	1081.67	1735.33	2285.67	1285.33	1356.35	1474.76	1259.14
K12281	mshK; MSHA biogenesis protein MshK	713.7	453.0	520.63	1196.0	851.4	1527.17	166.5	178.0	757.27	406.73	370.0	669.0	815.3299999999998	1207.0	411.0	539.7	767.77	421.47
K12282	mshL; MSHA biogenesis protein MshL	2548.87	1695.0	2602.96	3215.0	3729.07	3414.34	1227.17	1108.0	2152.61	1698.4	1498.5	1508.6699999999996	2519.33	3269.17	1875.33	2100.35	2435.76	2005.14
K12283	mshM; MSHA biogenesis protein MshM	1251.2	852.0	948.63	1658.0	1782.4	2020.67	696.5	672.0	1105.27	787.73	712.5	904.0	1462.33	1823.5	988.0	1020.7	1165.77	1047.47
K12284	mshN; MSHA biogenesis protein MshN	1245.5	852.0	945.33	1656.0	1779.0	2017.67	691.0	661.0	1048.67	771.33	712.5	904.0	1440.33	1822.0	983.0	1018.0	1160.67	1044.67
K12285	mshO; MSHA biogenesis protein MshO	2505.87	1647.0	2571.96	3173.0	3617.07	3373.34	1135.17	1031.0	2097.61	1639.4	1461.5	1459.6699999999996	2453.33	3176.17	1779.33	2025.35	2366.76	1918.14
K12286	mshP; MSHA biogenesis protein MshP	2505.87	1647.0	2571.96	3173.0	3617.07	3371.84	1135.17	1031.0	2097.61	1639.4	1461.5	1459.6699999999996	2453.33	3174.67	1779.33	2025.35	2366.76	1918.14
K12287	mshQ; MSHA biogenesis protein MshQ	1600.2	988.0	1753.8	1901.0	2113.4	1736.0	414.0	375.0	957.6	710.4	701.0	805.0	981.0	1196.0	729.0	894.2	1211.6	943.8
K12288	hofM; pilus assembly protein HofM	0.0	0.0	0.6	0.0	0.5	0.3	29.4	0.8	0.0	1.83	1.2	6.5	0.0	1.2	0.0	0.4	0.0	0.0
K12289	hofN; pilus assembly protein HofN	0.0	0.0	0.6	0.0	0.5	0.3	29.4	0.8	0.0	1.83	1.2	6.5	0.0	1.2	0.0	0.4	0.0	0.0
K12290	hofO; pilus assembly protein HofO	0.0	0.0	0.6	0.0	0.5	0.3	0.4	0.8	0.0	0.0	1.2	0.0	0.0	1.2	0.0	0.4	0.0	0.0
K12291	hofP; pilus assembly protein HofP	0.0	0.0	0.6	0.0	0.5	0.3	29.4	0.8	0.0	0.0	1.2	6.5	0.0	1.2	0.0	0.4	0.0	0.0
