function	description	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
EC:2.7.1.148	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	13714.12	14757.83	15962.03	16379.73	16328.45	15839.589999999998	11249.52	13158.98	14655.04	11406.37	13226.07	14018.46	16247.16	17761.62	15776.75	16552.559999999998	16899.27	15170.41
EC:2.7.1.15	Ribokinase	11457.92	14242.58	14468.15	15389.96	13203.8	13388.09	10027.1	12738.73	14223.24	10649.06	12489.87	12969.21	15237.49	15690.21	13937.66	15508.8	17054.569999999996	13605.25
EC:2.7.1.156	Adenosylcobinamide kinase	9805.45	11216.58	13259.98	12829.18	12420.9	12258.19	7993.25	9776.88	11490.14	8628.87	9710.32	10066.74	12244.32	13319.79	11275.66	12372.219999999998	12855.43	10923.57
EC:2.7.1.16	Ribulokinase	1594.45	3054.25	2351.07	1578.0	1155.73	1694.05	1318.84	1638.8	2235.85	1855.98	1675.45	1655.75	2365.25	1911.2	2391.0	2183.350000000001	2506.85	1817.8
EC:2.7.1.161	CTP-dependent riboflavin kinase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0
EC:2.7.1.163	Hygromycin B 4-O-kinase	17.0	30.0	38.0	10.0	5.0	71.0	5.0	54.0	19.0	0.0	8.0	8.0	8.0	10.0	19.0	28.0	16.0	13.0
EC:2.7.1.165	Glycerate 2-kinase	0.0	0.0	0.0	2.0	13.0	2.5	5.0	6.5	0.0	4.5	2.5	4.0	0.0	5.5	0.0	3.0	5.5	3.0
EC:2.7.1.166	3-deoxy-D-manno-octulosonic acid kinase	288.75	186.5	338.5	353.75	392.5	486.25	187.5	261.0	297.75	283.75	429.25	349.0	243.0	256.5	297.0	411.0	339.0	382.25
EC:2.7.1.167	D-glycero-beta-D-manno-heptose-7-phosphate kinase	1470.2	1463.5	1545.15	1425.1	1389.15	1597.8	1546.4	1548.3	1471.4299999999996	1366.23	1569.15	1946.5	1231.75	1292.7	1817.42	1563.73	1346.35	1517.05
EC:2.7.1.168	D-glycero-alpha-D-manno-heptose-7-phosphate kinase	349.03	476.0	331.47	608.0	567.73	353.5	494.83	527.0	544.9300000000002	436.9	406.0	540.8299999999998	854.6600000000002	623.6700000000002	607.3299999999998	496.54	501.76	439.96
EC:2.7.1.169	Pantoate kinase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0
EC:2.7.1.17	Xylulokinase	13351.79	14683.91	14767.15	15559.99	14404.73	14341.94	9318.509999999998	12577.13	15058.03	12101.29	12088.95	12256.59	15410.17	16708.54	14201.0	15738.48	17240.68	14181.14
EC:2.7.1.170	Anhydro-N-acetylmuramic acid kinase	10727.87	9748.33	13111.11	12745.43	14649.12	12859.34	8091.33	9646.43	10681.96	8787.87	10006.57	10143.96	11907.91	13996.37	11704.58	11455.479999999998	13222.85	11504.41
EC:2.7.1.174	Diacylglycerol kinase (CTP)	31.0	34.0	50.0	85.0	103.0	27.0	61.0	42.0	32.0	49.0	46.0	45.0	58.0	122.0	62.0	61.0	57.0	48.0
EC:2.7.1.175	Maltokinase	3446.5	5918.0	4861.5	4382.5	2667.83	3667.5	2957.0	4473.5	5783.5	3554.0	3871.5	3517.5	6017.5	5642.5	5044.5	6665.5	5399.68	4812.5
